id,phone_number,street_address,hospital_name,longitude,latitude,province,city,detailcity
1,053-357-2739,대구광역시 북구 옥산로 120 (고성동3가),푸른동물병원,343401,265934,대구광역시,북구,고성동3가 1-5
2,581-2301,충청남도 천안시 서북구 성환읍 성환1로 235,충일,211324,379359,충청남도,천안시,서북구 성환읍 성환리 449-118
3,02-2060-0999,"서울특별시 양천구 목동남로2길 21, 쌍용빌딩 4층 (신정동)",캐슬동물종합병원,187954,445074,서울특별시,양천구,신정동 202-13 쌍용빌딩 4층
4,033-257-7533,"강원특별자치도 춘천시 공지로 159, 1층 (석사동)",미래종합동물병원,265448,484407,강원특별자치도,춘천시,석사동 431-5
5,751-6960,경상북도 경주시 산내면 의곡2길 17-1,의곡동물병원,385088,252676,경상북도,경주시,산내면 의곡리 113-27번지
6,033-553-4000,"강원특별자치도 태백시 고원로 49, 태백축협 2층 (황지동)",동해삼척태백축협 상장지점 동물병원,376534,408270,강원특별자치도,태백시,황지동 215-24 태백축협
7,681-3568,강원특별자치도 고성군 간성읍 건봉사로 6-72,고성축협 동물병원,326276,543652,강원특별자치도,고성군,간성읍 교동리 58-13
8,292-3797,경기도 수원시 권선구 매송고색로 696-6 (고색동),정우동물병원,198208,416499,경기도,수원시,권선구 고색동 382-3
9,031-213-3050,경기도 수원시 영통구 산남로90번길 23 (매탄동),오동물병원,204436,418751,경기도,수원시,영통구 매탄동 111-138
10,054-244-2200,경상북도 포항시 남구 포스코대로 78 (이동),최지승 동물병원,410349,283094,경상북도,포항시,남구 이동 52
11,544-2342,충청북도 보은군 보은읍 보은로 90-1,서울동물병원,264338,331500,충청북도,보은군,보은읍 삼산리 40-4
12,7323827,서울특별시 종로구 자하문로 66-2 (효자동),효자동물병원,197365,453303,서울특별시,종로구,효자동 31번지
16,051-862-1188,부산광역시 연제구 거제시장로 18-6 (거제동),솔로몬동물병원,388659,188856,부산광역시,연제구,거제동 574-21번지
17,064-741-6724,제주특별자치도 제주시 애월읍 산록서로 678-207,제주한라대학교 부설동물병원,148327,-11061,제주특별자치도,제주시,애월읍 광령리 604-1번지
18,984-1273,대구광역시 동구 팔공로 142 (불로동),아양동물병원,348069,269153,대구광역시,동구,불로동 460-23번지
19,772-2246,경기도 양평군 양평읍 대흥로 106-31,협성동물병원,247667,442602,경기도,양평군,양평읍 대흥리 553-1번지
20,031-898-3708,경기도 용인시 기흥구 보정로 32 (보정동),보정동물병원,209787,423563,경기도,용인시,기흥구 보정동 1277번지
21,031-758-8878,"경기도 성남시 수정구 오야남로12번길 12-2, 1층 (오야동)",어강동물병원,209274,439137,경기도,성남시,수정구 오야동 249-1번지
22,032-441-5155,"인천광역시 남동구 구월로 41 (간석동,1호내)",위드동물병원,172932,439549,인천광역시,남동구,간석동 900-138번지 1호내
23,032-863-7582,인천광역시 미추홀구 인하로 271-3 (주안동),닥터파파동물병원,171474,438510,인천광역시,미추홀구,주안동 1462-12번지
24,643-3601,전라북도 임실군 임실읍 운수로 6,임실축협 동물병원,225493,235160,전라북도,임실군,임실읍 이도리 182-4번지
25,063-445-3909,전라북도 군산시 중앙로 80 (중앙로3가),시민동물병원,174577,275685,전라북도,군산시,중앙로3가 33-1번지
26,774-9975,경상북도 경주시 천북면 산업로 4694-4,가나동물병원,402128,268451,경상북도,경주시,천북면 신당리 1126-3
