phone_number,street_address,hospital_name,longitude,latitude,Si/Do,Si/Gun/Gu,Eup/Myeon/Dong
053-357-2739,대구광역시 북구 옥산로 120 (고성동3가),푸른동물병원,343400.8927,265933.8089,대구광역시,북구,고성동3가 1-5
581-2301,충청남도 천안시 서북구 성환읍 성환1로 235,충일,211324.2823,379358.7161,충청남도,천안시,서북구 성환읍 성환리 449-118
02-2060-0999,"서울특별시 양천구 목동남로2길 21, 쌍용빌딩 4층 (신정동)",캐슬동물종합병원,187953.8602,445073.762,서울특별시,양천구,신정동 202-13 쌍용빌딩 4층
033-257-7533,"강원특별자치도 춘천시 공지로 159, 1층 (석사동)",미래종합동물병원,265448.3424,484406.5848,강원특별자치도,춘천시,석사동 431-5
751-6960,경상북도 경주시 산내면 의곡2길 17-1,의곡동물병원,385087.9276,252675.7675,경상북도,경주시,산내면 의곡리 113-27번지
033-553-4000,"강원특별자치도 태백시 고원로 49, 태백축협 2층 (황지동)",동해삼척태백축협 상장지점 동물병원,376533.7626,408269.9208,강원특별자치도,태백시,황지동 215-24 태백축협
681-3568,강원특별자치도 고성군 간성읍 건봉사로 6-72,고성축협 동물병원,326275.7543,543652.1473,강원특별자치도,고성군,간성읍 교동리 58-13
292-3797,경기도 수원시 권선구 매송고색로 696-6 (고색동),정우동물병원,198207.5109,416498.6977,경기도,수원시,권선구 고색동 382-3
031-213-3050,경기도 수원시 영통구 산남로90번길 23 (매탄동),오동물병원,204435.9112,418751.3514,경기도,수원시,영통구 매탄동 111-138
054-244-2200,경상북도 포항시 남구 포스코대로 78 (이동),최지승 동물병원,410348.7909,283093.9801,경상북도,포항시,남구 이동 52
544-2342,충청북도 보은군 보은읍 보은로 90-1,서울동물병원,264338.4821,331500.0728,충청북도,보은군,보은읍 삼산리 40-4
7323827,서울특별시 종로구 자하문로 66-2 (효자동),효자동물병원,197364.6145,453303.2939,서울특별시,종로구,효자동 31번지
732-3827,서울특별시 종로구 자하문로 66-2 (효자동),효자동물병원,197364.6145,453303.2939,서울특별시,종로구,효자동 31번지
732-3827,서울특별시 종로구 자하문로 66-2 (효자동),효자동물병원,197364.6145,453303.2939,서울특별시,종로구,효자동 31번지
